Job Title,Location,Qualifications,Salary
Software Engineer - Services Engineering,"Apple - 4.1
New York, NY","['CI/CD', 'Computer science', 'Kotlin', 'Computer Science', 'Data structures', 'iOS', 'Mid-level', 'Java', ""Master's degree"", 'Databases', 'Algorithms', ""Bachelor's degree"", 'Distributed systems', 'Agile', 'Kafka']","Full-time
$143,100 - $264,200 a year
1 day ago"
"Full-Stack Lead Engineer, 25madison","25madison - 5.0
New York, NY","['CI/CD', 'Cloud infrastructure', 'Rust', 'Go', 'Node.js', 'React', 'Full-stack development', '5 years', 'Google Cloud Platform', 'AWS', 'Back-end development', 'GitHub', 'Data science', 'Senior level', 'Leadership', 'TypeScript', 'Communication skills', 'Python']","Full-time
$170,000 - $210,000 a year
3 days ago"
Frontend Engineer,"Accrete - 3.0
New York, NY","['CI/CD', 'Azure', 'Management', 'Law', 'WebAssembly', 'CSS', 'VueX', 'Bootstrap', 'React', 'RESTful API', 'Git', 'Google Cloud Platform', 'Mid-level', 'Responsive web design', '3 years', 'AWS', 'Continuous improvement', 'JavaScript', 'Redux', 'APIs', 'GraphQL', 'Data visualization', 'Vue.js', 'AI', 'TypeScript', 'Debugging', 'HTML']","Full-time
$120,000 - $160,000 a year
2 days ago"
Backend Engineer III - Accounts Team,"Stash
New York, NY","['CI/CD', 'Go', 'Kubernetes', 'Mid-level', '3 years', 'AWS', 'Continuous improvement', 'PostgreSQL', 'Terraform', 'Software development', 'Kafka', 'Maven', 'Banking', 'Debugging']","$113,923 - $170,884 a year
1 day ago"
Machine Learning Engineer (Remote),"DataKind - 5.0
New York, NY","['Management', 'RESTful API', 'Data structures', 'Git', 'Google Cloud Platform', '3 years', 'Databases', 'Algorithms', 'SQL', 'Machine learning', 'PostgreSQL', 'Organizational skills', 'Software development', 'APIs', 'ETL', 'Cloud computing', 'Predictive analytics', 'Senior level', 'SaaS', 'Data warehouse', 'Python']","$106,000 - $120,000 a year
15 hours ago"
Front-End Developer- AI Trainer,"DataAnnotation - 3.9
New York, NY","['Kotlin', 'Go', 'CSS', 'React', 'Writing skills', 'C#', 'English', 'Mid-level', 'Java', 'SQL', 'C++', 'C', ""Bachelor's degree"", 'JavaScript', 'Swift', 'AI', 'Grammar Experience', 'TypeScript', 'Python', 'HTML']","Contract
From $40 an hour"
Front End Web Developer,"Manhattan Institute for Policy Research - 3.7
New York, NY","['CI/CD', 'Business intelligence', 'CSS', 'WordPress', 'Web development', '5 years', 'Writing skills', 'Tableau', 'AWS', 'JavaScript', 'Front-end development', 'Senior level', 'LAMP stack', 'Communication skills']","$90,000 - $115,000 a year
1 day ago"
Frontend Software Engineer III,"Sunbound - 3.0
New York, NY","['Computer science', 'React', 'Web development', 'Bachelor of Science', 'Writing skills', ""Master's degree"", 'Senior care', ""Bachelor's degree"", 'Redux', 'Software development', 'Senior level', '4 years', 'Figma', 'TypeScript', 'Communication skills']","Full-time
$130,000 - $160,000 a year
8 days ago"
Full-Stack Web Developer,"Manhattan Institute for Policy Research - 3.7
New York, NY","['Web design', 'CI/CD', 'Cloud infrastructure', 'Business intelligence', 'Data lake', 'WordPress', 'Web development', 'Full-stack development', '5 years', 'Writing skills', 'Tableau', 'Snowflake', 'AWS', 'APIs', 'Senior level', 'LAMP stack', 'Communication skills']","$150,000 - $200,000 a year
1 day ago"
DevOps Engineer (NYC),"US Mobile - 3.6
New York, NY","['CI/CD', 'Computer science', 'Cloud infrastructure', 'Management', 'Computer Science', 'Software Engineering', 'Kubernetes', 'DevOps', '5G', 'Git', 'Google Cloud Platform', 'Mid-level', 'Bash', 'Database administration', 'Docker', ""Bachelor's degree"", 'Terraform', 'Continuous integration', 'Scripting', 'Agile', 'CircleCI', 'Jenkins', 'GitLab', 'Communication skills', 'Python', 'PowerShell', 'Shell Scripting']","Full-time
$140,000 - $200,000 a year
14 days ago"
Frontend Engineer,"Tarro - 3.0
Long Island City, NY","['Rust', 'WebAssembly', 'CSS', 'React', 'Mid-level', 'Fundraising', 'S3', '2 years', 'Restaurant experience', 'TypeScript', 'HTML']","Full-time
$180,000 - $250,000 a year
14 days ago"
Python Desk Developer,"Barclays - 3.9
New York, NY","['Microsoft Excel', 'Trading', 'Senior level', 'Python', 'SDLC']","$174,350 - $192,000 a year"
"Software Engineer, Macro Middle Office Technology","Point72 - 4.2
New York, NY","['CI/CD', 'C#', 'Test-driven development', 'Mid-level', '.NET', '3 years', 'SQL', 'Analysis skills', 'Software development', 'Agile', 'Financial services', 'Communication skills', 'SDLC']","$200,000 - $250,000 a year
14 days ago"
Senior Full Stack Developer,"DEPARTMENT OF FINANCE - 4.0
Manhattan, NY","['Spring Boot', 'CI/CD', 'Azure', 'Computer Science', 'CSS', 'Software troubleshooting', 'React', 'RESTful API', 'Full-stack development', 'DevOps', 'AWS Certification', 'Technical support', 'Java', ""Master's degree"", 'High school diploma or GED', 'SQL', 'Database design', 'AWS', 'Quality assurance', 'Docker', ""Bachelor's degree"", 'JavaScript', 'Computer skills', 'Linux', '1 year', 'Senior level', 'Project leadership', 'Spring', 'jQuery', 'Debugging', 'HTML']","Full-time
$128,010 - $140,000 a year
2 days ago"
"Backend Engineer (Java), All Levels - NYC","Medal - 3.4
New York, NY","['CI/CD', 'Elasticsearch', 'Kotlin', 'Cloud infrastructure', 'Management', 'Node.js', 'Salt', 'React', 'Kubernetes', 'RESTful API', 'Relational databases', 'C#', 'iOS', 'Git', 'Test-driven development', 'Google Cloud Platform', 'Java', 'AWS', 'C++', 'Docker', 'PostgreSQL', 'Terraform', 'Redis', 'RabbitMQ', 'REST', 'Redux', 'Memcached', 'GitHub', 'CircleCI', 'Swift', 'Senior level', 'Chef', 'Project leadership', 'Leadership', 'Python', 'MySQL']","Full-time
$120,000 - $250,000 a year"
